Recording URL,Publicly Shared,Already Watched,Comments,Labels,Created,New / Returning,Hotjar User ID,Country,Action Count,Page Count,Duration (seconds),Device,Device Screen Size,Browser,Operating System,Referrer URL,Landing Page URL,Exit Page URL,Rage Clicks,U-Turns,Incoming Feedback,Net Promoter Score®,Events,Target
https://insights.hotjar.com/r?site=2751917&recording=53193486754,FALSE,TRUE,,,2024-05-21T14:53:08,Returning user,812ba4f5,US,292,18,3778,Desktop,1366 X 599,Chrome,Windows,,https://shorelinebreakers.playbookapi.com/control_panel/programs/program_clubs/,https://shorelinebreakers.playbookapi.com/control_panel/program_card/27581/,4,1,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53442226273,FALSE,FALSE,,,2024-05-24T14:39:36,New user,a7878fea,CA,565,22,3829,Desktop,1810 X 948,Edge,Windows,https://ampedsportslab.com/,https://ampedsports.playbookapi.com/programs/register/,https://ampedsports.playbookapi.com/programs/my_schedule/,1,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=52815774578,FALSE,TRUE,,,2024-05-16T14:54:15,Returning user,09ae2632,US,1479,203,2987,Desktop,1440 X 779,Chrome,Mac,,https://playbooksandbox3.herokuapp.com/control_panel/programs/program_packages/,https://playbooksandbox3.herokuapp.com/control_panel/programs/program_packages/,1,4,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52477892335,FALSE,TRUE,,,2024-05-12T10:40:02,Returning user,90e8d0f4,US,440,49,1311,Desktop,1272 X 564,Edge,Windows,,https://www.nycbasketballleague.com/,https://www.nycbasketballleague.com/player/194484/,1,1,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52343276846,FALSE,TRUE,,,2024-05-10T12:26:19,Returning user,cce2b37e,US,702,34,1560,Desktop,1920 X 919,Chrome,Windows,https://theplaygroundathletes.playbookapi.com/console/login/?next=/control_panel/,https://theplaygroundathletes.playbookapi.com/control_panel/programs/program_packages/,https://theplaygroundathletes.playbookapi.com/control_panel/programs/program_packages/,3,3,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=52296508049,FALSE,TRUE,,,2024-05-09T20:29:19,Returning user,63b314fb,US,1447,98,5607,Desktop,1318 X 646,Edge,Windows,,https://mysoccerschool.playbookapi.com/control_panel/programs/program_clubs/,https://mysoccerschool.playbookapi.com/control_panel/programs/program_clubs/,2,30,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=51525785485,FALSE,TRUE,,,2024-04-29T20:38:40,New user,8ab3aad6,CA,508,21,1854,Desktop,1536 X 730,Chrome,Windows,https://www.burloakbasketball.com/,https://burloakbasketball.playbookapi.com/programs/register/try_outs/,https://burloakbasketball.playbookapi.com/programs/register/burloak_academy_girls/,6,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53680195898,FALSE,FALSE,,,2024-05-27T21:41:23,Returning user,9806752f,US,586,51,2687,Desktop,1440 X 779,Chrome,Mac,,https://newtownvolleyball.playbookapi.com/control_panel/programs/program_seasons/,https://newtownvolleyball.playbookapi.com/control_panel/events/,4,0,N/A,N/A,,Yes
https://insights.hotjar.com/r?site=2751917&recording=53513157798,FALSE,FALSE,,,2024-05-25T15:13:12,Returning user,015f0ccd,CO,383,16,844,Desktop,1456 X 881,Edge,Windows,,https://phoenixvolleyball.playbookapi.com/programs/register/,https://phoenixvolleyball.playbookapi.com/user_dashboard/registrations/,1,0,N/A,N/A,,No
https://insights.hotjar.com/r?site=2751917&recording=53217854618,FALSE,TRUE,,,2024-05-21T21:20:02,Returning user,5fa48f05,US,252,33,1392,Desktop,1280 X 713,Chrome,Mac,,https://tuolumnesoccer.playbookapi.com/control_panel/enroll/?program_type=season&selected_program=21764&from_card=league_card&from_card_id=21764,https://tuolumnesoccer.playbookapi.com/programs/more_info/season/21750/,1,0,N/A,N/A,,No
